filename,rpt_0.2Cdischarge_capacity0.8_real_regular_throughput::DiagnosticProperties
PreDiag_000390_0001F4_structure,765.6844013339814
PredictionDiagnostics_000128_000046_structure,625.1497334270318
PreDiag_000338_00017A_structure,23439.13301297788
PreDiag_000380_000063_structure,824.6296829922259
PreDiag_000332_000182_structure,9019.291825841774
PreDiag_000346_000171_structure,12397.816915916601
PreDiag_000385_0001EC_structure,1929.63934358908
PreDiag_000316_000194_structure,1541.0007374197612
PreDiag_000297_00270F_structure,7084.900433228464
PreDiag_000386_0001EE_structure,1828.6932884813034
PredictionDiagnostics_000133_00004D_structure,1028.171817972746
PreDiag_000284_00022D_structure,10618.369721371226
PreDiag_000396_00010F_structure,2851.6327366590217
PredictionDiagnostics_000159_000250_structure,4019.3205981802034
PreDiag_000367_0001ED_structure,905.930399597174
PreDiag_000334_00017F_structure,9278.086689012976
PreDiag_000350_00016D_structure,11360.28890517577
PredictionDiagnostics_000178_00023B_structure,3744.384837500093
PredictionDiagnostics_000184_000244_structure,9626.32197869743
PredictionDiagnostics_000161_000252_structure,3391.2856359880393
PreDiag_000325_000189_structure,2107.0201485444436
PredictionDiagnostics_000171_000027_structure,2254.27845129994
PreDiag_000423_0000F0_structure,9056.891209087982
PreDiag_000393_00010C_structure,613.7561316073015
PreDiag_000397_000110_structure,1923.303996291628
PreDiag_000409_00008C_structure,640.9652387570043
PreDiag_000265_0000D0_structure,9428.588977274698
PreDiag_000389_0001F2_structure,680.9035158285573
PreDiag_000403_000083_structure,10216.6239833622
PreDiag_000345_000173_structure,14304.677391684596
PreDiag_000401_000086_structure,4286.091091242997
PreDiag_000394_00010D_structure,1982.6368251849653
PreDiag_000421_000098_structure,1883.0995883478556
PreDiag_000411_00008E_structure,1208.1741173144528
PreDiag_000432_0000F3_structure,1557.8848607226234
PreDiag_000280_000233_structure,2473.528856880945
PreDiag_000426_0000E1_structure,9184.303029956865
PredictionDiagnostics_000165_000245_structure,3019.5483578291755
PredictionDiagnostics_000181_00023A_structure,4884.720626411669
PreDiag_000335_00017E_structure,4214.149713066669
PreDiag_000406_000089_structure,4307.386332014032
PreDiag_000405_000088_structure,8314.372191862276
PredictionDiagnostics_000157_000020_structure,3665.7575645031698
PredictionDiagnostics_000182_00023C_structure,2394.2469255891797
PreDiag_000348_00016F_structure,10426.614285887863
PreDiag_000410_00008D_structure,1955.9939083982322
PreDiag_000320_00019F_structure,5649.66515566988
PreDiag_000199_0000DA_structure,10028.911755087813
PredictionDiagnostics_000129_000045_structure,724.7171703191526
PreDiag_000384_0001CC_structure,1923.8550884374722
PreDiag_000400_000084_structure,6173.011490256307
PreDiag_000361_000162_structure,4869.790456925622
PreDiag_000356_000167_structure,10360.114091697986
PreDiag_000434_0000F6_structure,2265.4624562695394
PreDiag_000347_000170_structure,10621.770882960189
PreDiag_000424_0000E2_structure,7971.383822776472
PreDiag_000326_000188_structure,3477.39477428577
PreDiag_000328_000186_structure,3186.5510290501234
PreDiag_000419_000096_structure,3673.033434890772
PredictionDiagnostics_000180_00023D_structure,4319.716611887491
PreDiag_000427_0000E0_structure,3121.3787893518393
PreDiag_000330_000184_structure,3677.3449473859064
PreDiag_000358_000165_structure,10216.836564252322
PreDiag_000211_000209_structure,7964.922193346498
PreDiag_000382_0001CD_structure,1638.1676785233371
PredictionDiagnostics_000160_000251_structure,4865.324087635198
PredictionDiagnostics_000151_00001E_structure,3675.16432841044
PreDiag_000360_000163_structure,5802.1622084732835
PreDiag_000256_000216_structure,4790.892248136668
PreDiag_000315_000195_structure,2362.3077499471715
PreDiag_000413_000090_structure,7784.380363305793
PreDiag_000412_00008F_structure,750.6621380113204
PreDiag_000357_000166_structure,10951.79324396828
PreDiag_000309_00019B_structure,3190.3975183668213
PreDiag_000238_000223_structure,9970.508885913767
PreDiag_000377_00009F_structure,660.5555016696615
PreDiag_000402_000087_structure,8099.23860358489
PreDiag_000364_00015F_structure,7177.799218911753
PreDiag_000430_0000DD_structure,5928.673123141906
PredictionDiagnostics_000135_00002C_structure,673.9731805202523
PredictionDiagnostics_000183_000018_structure,4073.7045868516793
PreDiag_000392_00010B_structure,990.8793337005754
PredictionDiagnostics_000191_000249_structure,4290.232105318316
PreDiag_000308_0001A0_structure,5355.036818689507
PreDiag_000287_000128_structure,12645.948915522216
PreDiag_000310_00019A_structure,3124.4857032603527
PreDiag_000359_000164_structure,3789.0341070664754
PreDiag_000366_0001EF_structure,732.9980946542819
PredictionDiagnostics_000167_000255_structure,1931.1911882391973
PreDiag_000277_0000D3_structure,7610.798319105615
PreDiag_000241_000228_structure,4470.124089769738
PredictionDiagnostics_000175_000247_structure,6175.836169878044
PredictionDiagnostics_000166_000246_structure,2526.130186481934
PreDiag_000418_000095_structure,3574.4271979466034
PreDiag_000318_000192_structure,2148.3555834342574
PreDiag_000369_0001E7_structure,952.4519424527525
PredictionDiagnostics_000162_000021_structure,4900.063678933126
PreDiag_000220_00005E_structure,8252.908373517395
PreDiag_000327_000187_structure,3445.2134164133795
PredictionDiagnostics_000131_00004B_structure,627.8377641644129
PreDiag_000317_000193_structure,2241.6645232224887
